Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;industry;Summary Quote
DEX;Delaware Enhanced Global Dividend;11.83;187666565.45;n/a;2007;n/a;n/a;http://www.nasdaq.com/symbol/dex
DDF;Delaware Investments Dividend & Income Fund, Inc.;9.12;86084072.16;n/a;1993;n/a;n/a;http://www.nasdaq.com/symbol/ddf
DKL;Delek Logistics Partners, L.P.;33.49;804968285.71;n/a;2012;Energy;Natural Gas Distribution;http://www.nasdaq.com/symbol/dkl
DK;Delek US Holdings, Inc.;29.52;1775387352.96;n/a;2006;Energy;Integrated oil Companies;http://www.nasdaq.com/symbol/dk
DLPH;Delphi Automotive plc;60.04;18475362302.4;n/a;2011;Capital Goods;Auto Parts:O.E.M.;http://www.nasdaq.com/symbol/dlph
DAL;Delta Air Lines, Inc.;30.9;26436367815.6;n/a;n/a;Transportation;Air Freight/Delivery Services;http://www.nasdaq.com/symbol/dal
DEL;Deltic Timber Corporation;63.99;811330425.81;n/a;n/a;Basic Industries;Forest Products;http://www.nasdaq.com/symbol/del
DLX;Deluxe Corporation;49.24;2486608330.12;n/a;n/a;Consumer Durables;Publishing;http://www.nasdaq.com/symbol/dlx
DMD;Demand Media Inc.;5.99;539564434.65;n/a;2011;Technology;EDP Services;http://www.nasdaq.com/symbol/dmd
DWRE;DEMANDWARE, INC.;63.5;2189156150;n/a;2012;Technology;EDP Services;http://www.nasdaq.com/symbol/dwre
DNR;Denbury Resources Inc.;16.16;5925695952.96;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/dnr
HXM;Desarrolladora Homex;1.59;88736979.39;n/a;2004;Basic Industries;Homebuilding;http://www.nasdaq.com/symbol/hxm
DKT;Deutsch Bk Contingent Cap Tr V;27.06;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dkt
DB;Deutsche Bank AG;50.58;51546078000;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/db
DTK;Deutsche Bank AG;26.4403;0;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/dtk
DTT;Deutsche Bank AG;25.17;0;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/dtt
DUA;Deutsche Bank AG;24.83;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dua
DXB;Deutsche Bank AG;25.3;0;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/dxb
DCE;Deutsche Bk Cap Fdg Tr X;25.442;0;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/dce
DVN;Devon Energy Corporation;59.29;24071740000;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/dvn
DV;DeVry Education Group Inc.;37.72;2386129480;n/a;n/a;Consumer Services;Other Consumer Services;http://www.nasdaq.com/symbol/dv
DHT;DHT Holdings, Inc.;8.02;232908611.48;n/a;2005;Transportation;Marine Transportation;http://www.nasdaq.com/symbol/dht
DEO;Diageo plc;127.09;87506757663.05;n/a;n/a;Consumer Non-Durables;Beverages (Production/Distribution);http://www.nasdaq.com/symbol/deo
DO;Diamond Offshore Drilling, Inc.;50.69;7047706859.12;n/a;1995;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/do
DRII;Diamond Resorts International, Inc.;17.39;1312221610.78;n/a;2013;Consumer Services;Hotels/Resorts;http://www.nasdaq.com/symbol/drii
DRH;Diamondrock Hospitality Company;11.68;2283098838.88;n/a;2005;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/drh
DSX;Diana Shipping inc.;12;994096440;n/a;2005;Transportation;Marine Transportation;http://www.nasdaq.com/symbol/dsx
DHX;Dice Holdings, Inc.;7.13;401626483;n/a;2007;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/dhx
DKS;"Dick&#39;s Sporting Goods Inc";51.99;6539718483.93;n/a;2002;Consumer Services;Other Specialty Stores;http://www.nasdaq.com/symbol/dks
DBD;Diebold, Incorporated;33.5;2138583217.5;n/a;n/a;Miscellaneous;Office Equipment/Supplies/Services;http://www.nasdaq.com/symbol/dbd
DLR;Digital Realty Trust, Inc.;52.12;6694151763.28;n/a;2004;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/dlr
DLR^E;Digital Realty Trust, Inc.;23.6;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dlr^e
DLR^F;Digital Realty Trust, Inc.;22.32;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dlr^f
DLR^G;Digital Realty Trust, Inc.;19.14;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dlr^g
DGI;DigitalGlobe, Inc;39.06;2939758015.32;n/a;2009;Consumer Services;Telecommunications Equipment;http://www.nasdaq.com/symbol/dgi
DDS;"Dillard&#39;s, Inc.";90.7;3984099446.8;n/a;n/a;Consumer Services;Department/Specialty Retail Stores;http://www.nasdaq.com/symbol/dds
DDT;"Dillard&#39;s, Inc.";25.25;0;n/a;n/a;Consumer Services;Department/Specialty Retail Stores;http://www.nasdaq.com/symbol/ddt
DIN;DineEquity, Inc;79.53;1513206493.92;n/a;n/a;Consumer Services;Restaurants;http://www.nasdaq.com/symbol/din
DFS;Discover Financial Services;55.29;26364469335.18;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/dfs
DFS^B;Discover Financial Services;23.91;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dfs^b
DNI;Dividend and Income Fund;14.89;90266113.33;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dni
DLB;Dolby Laboratories;41.37;4206593689.62;n/a;2005;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/dlb
DG;Dollar General Corporation;57.27;18341013700.44;n/a;2009;Consumer Services;Department/Specialty Retail Stores;http://www.nasdaq.com/symbol/dg
DDC;Dominion Diamond Corporation;14.42;1227495001.6;n/a;n/a;Basic Industries;Precious Metals;http://www.nasdaq.com/symbol/ddc
DOM;Dominion Resources Black Warrior Trust;6.542;51354700;n/a;1994;Energy;Coal Mining;http://www.nasdaq.com/symbol/dom
D;Dominion Resources, Inc.;66.26;38459662127.14;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/d
DCUA;Dominion Resources, Inc.;55;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/dcua
DCUB;Dominion Resources, Inc.;55.19;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/dcub
DRU;Dominion Resources, Inc.;25.91;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/dru
DPZ;"Domino&#39;s Pizza Inc";69.86;3892519350.02;n/a;2004;Consumer Non-Durables;Food Distributors;http://www.nasdaq.com/symbol/dpz
UFS;Domtar Corporation;93.85;3995614760.3;n/a;n/a;Basic Industries;Paper;http://www.nasdaq.com/symbol/ufs
DCI;Donaldson Company, Inc.;41.26;6033564379.02;n/a;n/a;Capital Goods;Pollution Control Equipment;http://www.nasdaq.com/symbol/dci
DRL;Doral Financial Corporation;14.31;95174321.76;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/drl
DSL;DoubleLine Income Solutions Fund;20.86;0;n/a;2013;n/a;n/a;http://www.nasdaq.com/symbol/dsl
DBL;DoubleLine Opportunistic Credit Fund;23.13;340431133.32;n/a;2012;n/a;n/a;http://www.nasdaq.com/symbol/dbl
PLOW;Douglas Dynamics, Inc.;15.48;344019067.92;n/a;2010;Capital Goods;Construction/Ag Equipment/Trucks;http://www.nasdaq.com/symbol/plow
DEI;Douglas Emmett, Inc.;25.01;3566460763.9;n/a;2006;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/dei
DOV;Dover Corporation;90.49;15416398346.32;n/a;n/a;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/dov
DDE;Dover Downs Gaming & Entertainment Inc;1.56;50882289.12;n/a;n/a;Consumer Services;Services-Misc. Amusement & Recreation;http://www.nasdaq.com/symbol/dde
DVD;Dover Motorsports, Inc.;2.23;81785660.32;n/a;1996;Consumer Services;Services-Misc. Amusement & Recreation;http://www.nasdaq.com/symbol/dvd
DPD;Dow 30 Premium;15.2597;183355580.5378;n/a;2005;n/a;n/a;http://www.nasdaq.com/symbol/dpd
DPO;Dow 30 Premium;12.91;359633005.03;n/a;2007;n/a;n/a;http://www.nasdaq.com/symbol/dpo
DOW;Dow Chemical Company (The);43.06;52226008926.56;n/a;n/a;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/dow
DPS;Dr Pepper Snapple Group, Inc;48.98;9827493846.12;n/a;n/a;Consumer Non-Durables;Beverages (Production/Distribution);http://www.nasdaq.com/symbol/dps
RDY;"Dr. Reddy&#39;s Laboratories Ltd";42.33;7200321782.55;n/a;n/a;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/rdy
DRD;DRDGOLD Limited;3.86;146362785.2;n/a;n/a;Basic Industries;Precious Metals;http://www.nasdaq.com/symbol/drd
DRC;Dresser-Rand Group Inc.;56.89;4340165008.97;n/a;2005;Energy;Industrial Machinery/Components;http://www.nasdaq.com/symbol/drc
DW;Drew Industries Incorporated;49.39;1147659674.59;n/a;n/a;Capital Goods;Auto Parts:O.E.M.;http://www.nasdaq.com/symbol/dw
DHF;Dreyfus High Yield Strategies Fund;4.11;297907674.09;n/a;1998;n/a;n/a;http://www.nasdaq.com/symbol/dhf
DMB;Dreyfus Municipal Bond Infrastructure Fund, Inc.;10.87;0;n/a;2013;n/a;n/a;http://www.nasdaq.com/symbol/dmb
DSM;Dreyfus Strategic Municipal Bond Fund, Inc.;7.78;381106341.98;n/a;1989;n/a;n/a;http://www.nasdaq.com/symbol/dsm
LEO;Dreyfus Strategic Municipals, Inc.;7.96;109350507.96;n/a;1987;n/a;n/a;http://www.nasdaq.com/symbol/leo
DRQ;Dril-Quip, Inc.;100.48;4088852936.96;n/a;1997;Energy;Metal Fabrications;http://www.nasdaq.com/symbol/drq
DST;DST Systems, Inc.;88.76;3743021093.84;n/a;1995;Technology;EDP Services;http://www.nasdaq.com/symbol/dst
DSW;DSW Inc.;37.89;3437526449.16;n/a;2005;Consumer Services;Clothing/Shoe/Accessory Stores;http://www.nasdaq.com/symbol/dsw
DTE;DTE Energy Company;66.37;11734033349.76;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/dte
DTQ;DTE Energy Company;20.85;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/dtq
DTZ;DTE Energy Company;24.82;0;n/a;2011;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/dtz
DCO;Ducommun Incorporated;28.96;312193694.24;n/a;n/a;Capital Goods;Military/Government/Technical;http://www.nasdaq.com/symbol/dco
DPG;Duff & Phelps Global Utility Income Fund Inc.;18.58;704735795.48;n/a;2011;n/a;n/a;http://www.nasdaq.com/symbol/dpg
DNP;Duff & Phelps Utilities Income, Inc.;9.52;2574876732.4;n/a;1987;n/a;n/a;http://www.nasdaq.com/symbol/dnp
DTF;Duff & Phelps Utilities Tax-Free Income, Inc.;14.43;122929314.3;n/a;1991;n/a;n/a;http://www.nasdaq.com/symbol/dtf
DUC;Duff & Phelps Utility & Corporate Bond Trust, Inc.;10.4177;286142142.9017;n/a;1993;n/a;n/a;http://www.nasdaq.com/symbol/duc
DUK;Duke Energy Corporation;68.82;48586463104.02;n/a;n/a;Public Utilities;Power Generation;http://www.nasdaq.com/symbol/duk
DUKH;Duke Energy Corporation;21.51;0;n/a;n/a;Public Utilities;Power Generation;http://www.nasdaq.com/symbol/dukh
DRE;Duke Realty Corporation;14.71;4792377593.05;n/a;n/a;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/dre
DRE^J;Duke Realty Corporation;24.7512;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dre^j
DRE^K;Duke Realty Corporation;23.95;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dre^k
DRE^L;Duke Realty Corporation;23.89;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dre^l
DNB;Dun & Bradstreet Corporation (The);111.1;4239614107.3;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/dnb
DFT;Dupont Fabros Technology, Inc.;25.37;1642096260.59;n/a;2007;Finance;Real Estate;http://www.nasdaq.com/symbol/dft
DFT^A;Dupont Fabros Technology, Inc.;24.67;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dft^a
DFT^B;Dupont Fabros Technology, Inc.;23.79;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dft^b
DHG;DWS High Income Opportunities Fund, Inc.;14.4;241159204.8;n/a;2006;n/a;n/a;http://www.nasdaq.com/symbol/dhg
DY;Dycom Industries, Inc.;27.71;935352712.6;n/a;n/a;Basic Industries;Water Supply;http://www.nasdaq.com/symbol/dy
DYN;Dynegy Inc.;20.37;2039019950.31;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/dyn
DYN/WS;Dynegy Inc.;1.14;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dyn/ws
DX;Dynex Capital, Inc.;8.06;438697280.58;n/a;n/a;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/dx
DX^A;Dynex Capital, Inc.;23.75;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dx^a
DX^B;Dynex Capital, Inc.;21.78;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dx^b
DD;E.I. du Pont de Nemours and Company;59.57;55167955710;n/a;n/a;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/dd
DD^A;E.I. du Pont de Nemours and Company;75.976;0;n/a;n/a;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/dd^a
DD^B;E.I. du Pont de Nemours and Company;88.5301;0;n/a;n/a;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/dd^b
SSP;E.W. Scripps Company (The);17.8;991296596;n/a;n/a;Consumer Services;Newspapers/Magazines;http://www.nasdaq.com/symbol/ssp
EXP;Eagle Materials Inc;78.54;630409164;n/a;n/a;Capital Goods;Building Materials;http://www.nasdaq.com/symbol/exp
EGP;EastGroup Properties, Inc.;57.95;1774689195.5;n/a;n/a;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/egp
EMN;Eastman Chemical Company;75.22;11577886169.52;n/a;n/a;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/emn
KODK;Eastman Kodak Company;29.89;1247440648.09;n/a;n/a;Miscellaneous;Industrial Machinery/Components;http://www.nasdaq.com/symbol/kodk
KODK/WS;Eastman Kodak Company;14.1999;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/kodk/ws
KODK/WS/A;Eastman Kodak Company;13.1;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/kodk/ws/a
ETN;Eaton Corporation, PLC;73.55;34899475000;n/a;n/a;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/etn
ETV;Eaton Vance Corporation;13.8;0;n/a;2005;n/a;n/a;http://www.nasdaq.com/symbol/etv
ETW;Eaton Vance Corporation;11.66;1241903510.1;n/a;2005;n/a;n/a;http://www.nasdaq.com/symbol/etw
EV;Eaton Vance Corporation;39.2;4767964443.2;n/a;n/a;Finance;Investment Managers;http://www.nasdaq.com/symbol/ev
EOI;Eaton Vance Enhance Equity Income Fund;12.72;498917183.28;n/a;2004;n/a;n/a;http://www.nasdaq.com/symbol/eoi
EOS;Eaton Vance Enhanced Equity Income Fund II;12.66;604693797.18;n/a;2005;n/a;n/a;http://www.nasdaq.com/symbol/eos
EFT;Eaton Vance Floating Rate Income Trust;15.46;639628280.6;n/a;2004;n/a;n/a;http://www.nasdaq.com/symbol/eft
EFF;Eaton vance Floating-Rate Income Plus Fund;18.26;138893265.72;n/a;2013;n/a;n/a;http://www.nasdaq.com/symbol/eff
ETX           ;Eaton Vance Municipal Income Term Trust;16.02;176730140.88;n/a;2013;n/a;n/a;http://www.nasdaq.com/symbol/etx           
EOT;Eaton Vance Municipal Income Trust;19.05;292004743.65;n/a;2009;n/a;n/a;http://www.nasdaq.com/symbol/eot
EVN;Eaton Vance Municipal Income Trust;11.33;271618610.67;n/a;1999;n/a;n/a;http://www.nasdaq.com/symbol/evn
ETJ;Eaton Vance Risk-Managed Diversified Equity Income Fund;11.28;787149792.24;n/a;2007;n/a;n/a;http://www.nasdaq.com/symbol/etj
EFR;Eaton Vance Senior Floating-Rate Fund;15.18;565075894.68;n/a;2003;n/a;n/a;http://www.nasdaq.com/symbol/efr
EVF;Eaton Vance Senior Income Trust;7.04;266580913.28;n/a;1998;n/a;n/a;http://www.nasdaq.com/symbol/evf
EVG;Eaton Vance Short Diversified Income Fund;15.53;293308835.88;n/a;2005;n/a;n/a;http://www.nasdaq.com/symbol/evg
EVT;Eaton Vance Tax Advantaged Dividend Income Fund;18.67;1359846253;n/a;2003;n/a;n/a;http://www.nasdaq.com/symbol/evt
ETO;Eaton Vance Tax-Advantage Global Dividend Opp;23.38;339460228.66;n/a;2004;n/a;n/a;http://www.nasdaq.com/symbol/eto
EXD;Eaton Vance Tax-Advantaged Bond;14.4575;152621350.54;n/a;2010;n/a;n/a;http://www.nasdaq.com/symbol/exd
ETG;Eaton Vance Tax-Advantaged Global Dividend Income Fund;16.23;1238352473.22;n/a;2004;n/a;n/a;http://www.nasdaq.com/symbol/etg
ETB;Eaton Vance Tax-Managed Buy-Write Income Fund;14.95;368585447.75;n/a;2005;n/a;n/a;http://www.nasdaq.com/symbol/etb
ETY;Eaton Vance Tax-Managed Diversified Equity Income Fund;10.82;1619994420.4;n/a;2006;n/a;n/a;http://www.nasdaq.com/symbol/ety
EXG;Eaton Vance Tax-Managed Global Diversified Equity Income Fund;9.86;2972770378.6;n/a;2007;n/a;n/a;http://www.nasdaq.com/symbol/exg
ECT;ECA Marcellus Trust I;8.96;157740800;n/a;2010;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/ect
ECL;Ecolab Inc.;99.85;30084730212.35;n/a;n/a;Basic Industries;Package Goods/Cosmetics;http://www.nasdaq.com/symbol/ecl
DANG;E-Commerce China Dangdang Inc.;9.61;772972191.11;n/a;2010;Consumer Services;Other Specialty Stores;http://www.nasdaq.com/symbol/dang
EC;Ecopetrol S.A.;34.59;656428577.31;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/ec
EIX;Edison International;47.4;15443451164.4;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/eix
EDR;Education Realty Trust Inc.;8.92;1024182242.04;n/a;2005;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/edr
EW;Edwards Lifesciences Corporation;66.28;7251464609.56;n/a;n/a;Health Care;Industrial Specialties;http://www.nasdaq.com/symbol/ew
EJ;E-House (China) Holdings Limited;12.72;1716519034.8;n/a;2007;Finance;Real Estate;http://www.nasdaq.com/symbol/ej
EP^C;El Paso Corporation;54.91;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/ep^c
EE;El Paso Electric Company;36.2;1457312993;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/ee
EPB;El Paso Pipeline Partners LP;33.64;7327709800.12;n/a;2007;Public Utilities;Natural Gas Distribution;http://www.nasdaq.com/symbol/epb
EGO;Eldorado Gold Corporation;6.36;4555138148.4;n/a;n/a;Basic Industries;Precious Metals;http://www.nasdaq.com/symbol/ego
LLY;Eli Lilly and Company;54.23;61098208621.45;n/a;n/a;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/lly
ELLI;Ellie Mae, Inc.;25.71;706939000.05;n/a;2011;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/elli
EFC;Ellington Financial LLC;23.52;598070934.72;n/a;2010;Finance;Real Estate;http://www.nasdaq.com/symbol/efc
EARN;Ellington Residential Mortgage REIT;15.77;144135308.34;n/a;2013;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/earn
AKO/A;Embotelladora Andina S.A.;18.84;0;n/a;n/a;Consumer Non-Durables;Beverages (Production/Distribution);http://www.nasdaq.com/symbol/ako/a
AKO/B;Embotelladora Andina S.A.;22.65;0;n/a;n/a;Consumer Non-Durables;Beverages (Production/Distribution);http://www.nasdaq.com/symbol/ako/b
ERJ;Embraer-Empresa Brasileira de Aeronautica;31.91;5820085194.76;n/a;2000;Capital Goods;Aerospace;http://www.nasdaq.com/symbol/erj
EMC;EMC Corporation;25.38;52228150007.4;n/a;n/a;Technology;Electronic Components;http://www.nasdaq.com/symbol/emc
EME;EMCOR Group, Inc.;43.83;2942381183.76;n/a;n/a;Capital Goods;Engineering & Construction;http://www.nasdaq.com/symbol/eme
EMES;Emerge Energy Services LP;46.38;1076928758.4;n/a;2013;Energy;Oilfield Services/Equipment;http://www.nasdaq.com/symbol/emes
EBS;Emergent Biosolutions, Inc.;23.24;845174982.96;n/a;2006;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/ebs
ESC;Emeritus Corporation;21.74;1037774313.66;n/a;1995;Health Care;Hospital/Nursing Management;http://www.nasdaq.com/symbol/esc
EMR;Emerson Electric Company;66.34;46777379584.74;n/a;n/a;Energy;Consumer Electronics/Appliances;http://www.nasdaq.com/symbol/emr
EDE;Empire District Electric Company (The);22.7;975375960.8;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/ede
ESRT;Empire State Realty Trust, Inc.;14.65;1400720473.35;n/a;2013;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/esrt
EIG;Employers Holdings Inc;25.36;791504594.64;n/a;2007;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/eig
EDN;Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor);5.22;234373771.8;n/a;2007;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/edn
EOC;Empresa Nacional de Electricidad S.A.;40.51;11075102587.69;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/eoc
ICA;Empresas Ica Soc Contrladora;7.81;1185865674.95;n/a;1992;Basic Industries;Military/Government/Technical;http://www.nasdaq.com/symbol/ica
ELX;Emulex Corporation;7.51;605645316.82;n/a;n/a;Technology;Computer Communications Equipment;http://www.nasdaq.com/symbol/elx
EEQ;Enbridge Energy Management LLC;27.67;1763729933.65;n/a;2002;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/eeq
EEP;Enbridge Energy, L.P.;28.58;7265276872.24;n/a;n/a;Energy;Natural Gas Distribution;http://www.nasdaq.com/symbol/eep
ENB;Enbridge Inc;41.77;34715340893.72;n/a;n/a;Energy;Natural Gas Distribution;http://www.nasdaq.com/symbol/enb
ECA;Encana Corporation;18.14;13438952480.62;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/eca
END;Endeavor International Corporation;6.66;314352000;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/end
EXK;Endeavour Silver Corporation;4.32;431068646.88;n/a;n/a;Basic Industries;Precious Metals;http://www.nasdaq.com/symbol/exk
ENH;Endurance Specialty Holdings Ltd;53.33;2364398882.5;n/a;2003;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/enh
ENH^A;Endurance Specialty Holdings Ltd;26.1175;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/enh^a
ENH^B;Endurance Specialty Holdings Ltd;25.75;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/enh^b
NDRO;Enduro Royalty Trust;13.32;439560000;n/a;2011;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/ndro
EGN;Energen Corporation;70.97;5158483902.55;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/egn
ENR;Energizer Holdings, Inc.;102.2;6400345620.2;n/a;n/a;Energy;Industrial Machinery/Components;http://www.nasdaq.com/symbol/enr
ETE;Energy Transfer Equity, L.P.;41.15;11551284397.5;n/a;2006;Public Utilities;Natural Gas Distribution;http://www.nasdaq.com/symbol/ete
ETP;ENERGY TRANSFER PARTNERS;54.08;20567662822.72;n/a;n/a;Public Utilities;Natural Gas Distribution;http://www.nasdaq.com/symbol/etp
ERF;Enerplus Corporation;18.15;3674625985.8;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/erf
ENI;Enersis S A;13.73;8966010307.17;n/a;1993;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/eni
ENS;Enersys;68.39;3241779694.3;n/a;2004;Consumer Non-Durables;Telecommunications Equipment;http://www.nasdaq.com/symbol/ens
EGL;Engility Holdings, Inc.;38.77;668094177.42;n/a;n/a;Consumer Services;Military/Government/Technical;http://www.nasdaq.com/symbol/egl
E;ENI S.p.A.;46.45;84139530000;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/e
EBF;Ennis, Inc.;14.89;390512227.64;n/a;n/a;Consumer Services;Office Equipment/Supplies/Services;http://www.nasdaq.com/symbol/ebf
NPO;Enpro Industries;73.62;1542421454.4;n/a;n/a;Basic Industries;Metal Fabrications;http://www.nasdaq.com/symbol/npo
ESV;ENSCO plc;51.43;12010947645.31;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/esv
ETM;Entercom Communications Corporation;9.75;377814498.75;n/a;1999;Consumer Services;Broadcasting;http://www.nasdaq.com/symbol/etm
EAA;Entergy Arkansas, Inc.;24.64;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/eaa
EAB;Entergy Arkansas, Inc.;21.13;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/eab
EAE;Entergy Arkansas, Inc.;20.01;0;n/a;2013;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/eae
ETR;Entergy Corporation;61.12;10898874088;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/etr
ELA;Entergy Louisiana, Inc.;24.6;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/ela
ELB;Entergy Louisiana, Inc.;24.854;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/elb
ELJ;Entergy Louisiana, Inc.;22.81;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/elj
ELU;Entergy Louisiana, Inc.;20;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/elu
EFM;Entergy Mississippi, Inc.;25.416;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/efm
EMQ;Entergy Mississippi, Inc.;25.08;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/emq
EMZ;Entergy Mississippi, Inc.;25;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/emz
ENJ;Entergy New Orleans, Inc.;20.4721;0;n/a;n/a;Public Utilities;Power Generation;http://www.nasdaq.com/symbol/enj
EDT;Entergy Texas Inc;25.88;0;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/edt
EPD;Enterprise Products Partners L.P.;64.47;60234608858.55;n/a;n/a;Public Utilities;Natural Gas Distribution;http://www.nasdaq.com/symbol/epd
